,floor,szhil,skitchen,roof_heigh,rooms,plan,sanuzel,balcon,type_remont,type_build,vtor_perv,price_meter,price_object,xlon,ylat,Tashkent,min_eucl
9051,4,30.0,0.0,0.0,1.0,,,0.0,Евроремонт,,Вторичный рынок,824.97,24749.0,69.21034578,41.27643727,True,0.005916849046683955
9052,4,93.0,12.0,3.0,4.0,Раздельная,Раздельный,1.0,,Панельный,Вторичный рынок,516.13,48000.0,69.34586999999999,41.33612,True,0.020572223433542192
9053,4,52.0,0.0,0.0,2.0,,,0.0,,,Вторичный рынок,605.77,31500.0,69.20692999,41.26871488,True,0.006230093167402998
9054,2,62.0,0.0,0.0,3.0,,,1.0,Средний,Кирпичный,Вторичный рынок,483.87,30000.0,69.3318,41.23891,True,0.0553840467734216
9055,4,70.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Средний,Кирпичный,Вторичный рынок,714.29,50000.0,69.27937,41.2826,True,0.011700585284507316
9056,4,76.0,0.0,0.0,3.0,Раздельная,Раздельный,0.0,Средний,Кирпичный,Вторичный рынок,546.05,41500.0,69.20438,41.269870000000004,True,0.004690757934486118
9058,9,72.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,750.0,54000.0,69.28595,41.35389,True,0.0022476487714913067
9062,5,109.0,0.0,0.0,5.0,Раздельная,Совмещенный,1.0,,Панельный,Вторичный рынок,669.72,73000.0,69.34586999999999,41.33612,True,0.020572223433542192
9063,4,63.0,8.0,3.0,2.0,Раздельная,Раздельный,1.0,Средний,Кирпичный,Вторичный рынок,631.75,39800.0,69.20277802,41.29237816,True,0.014129286679305617
9064,9,65.0,0.0,0.0,2.0,Раздельная,Раздельный,0.0,Средний,Панельный,Вторичный рынок,746.15,48500.0,69.24348,41.28218,True,0.02241700577686989
9065,4,50.0,0.0,0.0,2.0,,Раздельный,1.0,Евроремонт,,Вторичный рынок,730.0,36500.0,69.2218775,41.2214902,True,0.042815296622705355
9066,4,32.0,0.0,0.0,1.0,Раздельная,Совмещенный,0.0,Средний,Кирпичный,Вторичный рынок,615.62,19700.0,69.20438,41.269870000000004,True,0.004690757934486118
9067,9,63.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Требует ремонта,Панельный,Вторичный рынок,761.9,48000.0,69.29648,41.27485,True,0.02013739546217117
9070,4,52.0,0.0,0.0,2.0,Смежная,Совмещенный,0.0,Требует ремонта,Кирпичный,Вторичный рынок,634.62,33000.0,69.20438,41.269870000000004,True,0.004690757934486118
9071,4,110.0,0.0,0.0,4.0,Раздельная,Раздельный,1.0,Авторский проект,Кирпичный,Вторичный рынок,531.82,58500.0,69.20438,41.269870000000004,True,0.004690757934486118
9072,6,175.0,0.0,3.0,4.0,Раздельная,2 санузла и более,0.0,,,Новостройки,885.71,155000.0,69.3172765,41.3173289,True,0.00745436604011722
9073,4,45.0,0.0,0.0,2.0,,Раздельный,0.0,,Панельный,Вторичный рынок,577.78,26000.0,69.2070808,41.288656599999996,True,0.00849111583950748
9074,25,120.0,0.0,3.1,3.0,,2 санузла и более,1.0,Черновая отделка,Монолитный,Новостройки,9.67,1160.0,69.34586999999999,41.33612,True,0.020572223433542192
9075,4,38.0,0.0,0.0,1.0,,,0.0,,Кирпичный,Вторичный рынок,789.47,30000.0,69.24348,41.28218,True,0.02241700577686989
9076,5,72.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,,,Вторичный рынок,600.0,43200.0,69.28595,41.35389,True,0.0022476487714913067
9078,5,54.0,0.0,0.0,2.0,Смежная,Совмещенный,1.0,Средний,Кирпичный,Вторичный рынок,787.04,42500.0,69.24348,41.28218,True,0.02241700577686989
9079,5,70.0,0.0,0.0,3.0,Смежно-раздельная,Совмещенный,0.0,Средний,Кирпичный,Вторичный рынок,592.86,41500.0,69.20438,41.269870000000004,True,0.004690757934486118
9080,7,46.0,0.0,3.2,2.0,Смежная,Совмещенный,1.0,Требует ремонта,Кирпичный,Новостройки,543.48,25000.0,69.32618000000001,41.2783,True,0.015634422183120743
9081,4,55.0,0.0,0.0,2.0,Смежная,Совмещенный,1.0,Средний,Кирпичный,Вторичный рынок,754.55,41500.0,69.27937,41.2826,True,0.011700585284507316
9082,4,52.0,0.0,0.0,2.0,,Совмещенный,0.0,,Кирпичный,Вторичный рынок,771.15,40100.0,69.2070808,41.288656599999996,True,0.00849111583950748
9083,9,30.0,0.0,0.0,1.0,,,1.0,Средний,,Вторичный рынок,683.33,20500.0,69.27937,41.2826,True,0.011700585284507316
9084,4,42.0,0.0,0.0,2.0,Смежная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,690.48,29000.0,69.27937,41.2826,True,0.011700585284507316
9085,5,55.0,3.0,2.8,2.0,Смежно-раздельная,Раздельный,0.0,Средний,Панельный,Вторичный рынок,536.36,29500.0,69.34785040000001,41.2849533,True,0.02658874332965934
9086,4,70.0,0.0,0.0,3.0,Раздельная,Раздельный,0.0,Требует ремонта,Панельный,Вторичный рынок,500.0,35000.0,69.2994204,41.352958799999996,True,0.011257627965079424
9087,5,40.0,0.0,0.0,2.0,Смежная,,1.0,Авторский проект,,Вторичный рынок,722.5,28900.0,69.34586999999999,41.33612,True,0.020572223433542192
9089,4,57.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,692.98,39500.0,69.27937,41.2826,True,0.011700585284507316
9090,5,41.0,0.0,0.0,1.0,,,0.0,,Кирпичный,Вторичный рынок,546.34,22400.0,69.20438,41.269870000000004,True,0.004690757934486118
9091,9,72.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,729.17,52500.0,69.27937,41.2826,True,0.011700585284507316
9092,8,211.0,0.0,0.0,4.0,,,0.0,Черновая отделка,,Новостройки,758.29,160000.0,69.29648,41.27485,True,0.02013739546217117
9094,4,70.0,0.0,0.0,3.0,Раздельная,Раздельный,0.0,,Панельный,Вторичный рынок,600.0,42000.0,69.20438,41.269870000000004,True,0.004690757934486118
9095,8,130.0,0.0,0.0,3.0,,,0.0,Евроремонт,,Новостройки,1230.77,160000.0,69.28595,41.35389,True,0.0022476487714913067
9096,9,115.0,0.0,3.0,4.0,,2 санузла и более,0.0,Евроремонт,Кирпичный,Новостройки,1173.91,135000.0,69.3172765,41.3173289,True,0.00745436604011722
9098,4,42.0,0.0,2.85,1.0,,Раздельный,1.0,Средний,,Вторичный рынок,547.62,23000.0,69.35894586,41.35505071,True,0.042380087287356163
9099,4,100.0,0.0,0.0,3.0,Раздельная,2 санузла и более,0.0,Евроремонт,Кирпичный,Вторичный рынок,870.0,87000.0,69.28595,41.35389,True,0.0022476487714913067
9100,4,30.0,0.0,0.0,1.0,,,1.0,Средний,Кирпичный,Вторичный рынок,700.0,21000.0,69.27937,41.2826,True,0.011700585284507316
9101,4,50.0,7.0,0.0,2.0,Смежно-раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,538.0,26900.0,69.2243047,41.2831156,True,0.008964243696486685
9102,9,75.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,666.67,50000.0,69.27937,41.2826,True,0.011700585284507316
9103,4,50.0,0.0,0.0,2.0,Смежная,Раздельный,1.0,Евроремонт,Панельный,Вторичный рынок,1000.0,50000.0,69.20438,41.269870000000004,True,0.004690757934486118
9104,4,70.0,0.0,0.0,3.0,Раздельная,,1.0,Евроремонт,Кирпичный,Вторичный рынок,1142.86,80000.0,69.28595,41.35389,True,0.0022476487714913067
9105,9,75.0,0.0,0.0,3.0,,,0.0,,,Вторичный рынок,866.67,65000.0,69.24348,41.28218,True,0.02241700577686989
9106,9,40.0,8.0,3.0,1.0,Студия,Совмещенный,1.0,Предчистовая отделка,Монолитный,Вторичный рынок,475.0,19000.0,69.32618000000001,41.2783,True,0.015634422183120743
9107,3,45.0,0.0,0.0,2.0,Смежная,Раздельный,1.0,Требует ремонта,Панельный,Вторичный рынок,566.67,25500.0,69.27937,41.2826,True,0.011700585284507316
9108,4,54.0,0.0,0.0,2.0,,Раздельный,1.0,Требует ремонта,Панельный,Вторичный рынок,546.3,29500.0,69.27937,41.2826,True,0.011700585284507316
9109,4,36.0,0.0,0.0,2.0,,Совмещенный,0.0,Средний,Кирпичный,Вторичный рынок,611.11,22000.0,69.1827378,41.267102799999996,True,0.01755901345976088
9110,4,20.0,0.0,0.0,1.0,,Совмещенный,0.0,,,Вторичный рынок,555.0,11100.0,69.2070808,41.288656599999996,True,0.00849111583950748
9111,4,60.0,0.0,0.0,2.0,Раздельная,Совмещенный,0.0,,Кирпичный,Вторичный рынок,546.67,32800.0,69.2070808,41.288656599999996,True,0.00849111583950748
9112,16,50.0,0.0,2.9,2.0,Смежная,Совмещенный,1.0,Авторский проект,Монолитный,Вторичный рынок,1140.0,57000.0,69.24348,41.28218,True,0.02241700577686989
9113,9,210.0,0.0,3.0,4.0,Раздельная,2 санузла и более,1.0,Авторский проект,,Новостройки,1238.1,260000.0,69.29648,41.27485,True,0.02013739546217117
9114,9,94.0,11.0,2.8,4.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,510.64,48000.0,69.24082,41.22246,True,0.05573658077958962
9115,4,70.0,0.0,0.0,3.0,,Раздельный,0.0,,Панельный,Вторичный рынок,539.29,37750.0,69.20438,41.269870000000004,True,0.004690757934486118
9116,5,45.0,0.0,0.0,2.0,,Раздельный,1.0,Евроремонт,,Вторичный рынок,933.33,42000.0,69.27937,41.2826,True,0.011700585284507316
9117,4,48.0,0.0,0.0,2.0,,Раздельный,0.0,Евроремонт,Панельный,Вторичный рынок,672.92,32300.0,69.2070808,41.288656599999996,True,0.00849111583950748
9118,4,70.0,5.0,0.0,3.0,Смежно-раздельная,Совмещенный,0.0,Средний,Кирпичный,Вторичный рынок,670.0,46900.0,69.2243047,41.2831156,True,0.008964243696486685
9120,5,110.0,0.0,0.0,3.0,,,1.0,Евроремонт,Кирпичный,Вторичный рынок,900.0,99000.0,69.34586999999999,41.33612,True,0.020572223433542192
9121,9,165.0,0.0,0.0,4.0,,2 санузла и более,0.0,Требует ремонта,,Вторичный рынок,636.36,105000.0,69.29648,41.27485,True,0.02013739546217117
9122,9,80.0,0.0,0.0,3.0,,,0.0,,,Вторичный рынок,1562.5,125000.0,69.29648,41.27485,True,0.02013739546217117
9123,4,70.0,0.0,0.0,3.0,Раздельная,Совмещенный,1.0,Средний,Кирпичный,Вторичный рынок,550.0,38500.0,69.27937,41.2826,True,0.011700585284507316
9124,4,46.0,0.0,2.7,3.0,Смежная,Раздельный,0.0,,Панельный,Вторичный рынок,793.48,36500.0,69.3493672,41.3509126,True,0.03271235774443791
9125,4,45.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Евроремонт,Панельный,Вторичный рынок,800.0,36000.0,69.20438,41.269870000000004,True,0.004690757934486118
9127,5,38.0,0.0,0.0,1.0,,Совмещенный,1.0,Средний,Кирпичный,Вторичный рынок,631.58,24000.0,69.2070808,41.288656599999996,True,0.00849111583950748
9128,5,50.0,0.0,0.0,2.0,Смежная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,690.0,34500.0,69.20109048,41.27437232,True,0.0036526991790716665
9129,8,126.0,0.0,3.3,4.0,Раздельная,2 санузла и более,1.0,Авторский проект,,Новостройки,2063.49,260000.0,69.24393743,41.28075743,True,0.02347759538389361
9130,9,96.0,0.0,3.0,3.0,Раздельная,Раздельный,1.0,Требует ремонта,Кирпичный,Новостройки,4.69,450.0,69.27937,41.2826,True,0.011700585284507316
9131,8,63.0,11.0,3.1,2.0,Раздельная,,0.0,Черновая отделка,Кирпичный,Новостройки,9.17,578.0,69.34586999999999,41.33612,True,0.020572223433542192
9132,9,75.0,0.0,0.0,3.0,,,0.0,,,Вторичный рынок,1466.67,110000.0,69.29648,41.27485,True,0.02013739546217117
9133,4,65.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Евроремонт,,Вторичный рынок,767.69,49900.0,69.27937,41.2826,True,0.011700585284507316
9135,9,75.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Авторский проект,Панельный,Вторичный рынок,1053.33,79000.0,69.27937,41.2826,True,0.011700585284507316
9136,4,48.0,0.0,0.0,2.0,Смежная,Раздельный,0.0,,Панельный,Вторичный рынок,572.92,27500.0,69.20438,41.269870000000004,True,0.004690757934486118
9137,4,42.0,0.0,0.0,2.0,Смежная,Раздельный,1.0,Авторский проект,Панельный,Вторичный рынок,726.19,30500.0,69.27937,41.2826,True,0.011700585284507316
9138,4,45.0,0.0,0.0,2.0,Раздельная,Совмещенный,1.0,Средний,Кирпичный,Вторичный рынок,766.67,34500.0,69.27937,41.2826,True,0.011700585284507316
9139,9,65.0,0.0,0.0,2.0,Раздельная,Совмещенный,1.0,Средний,Панельный,Вторичный рынок,538.46,35000.0,69.27937,41.2826,True,0.011700585284507316
9140,4,42.0,0.0,2.85,1.0,Смежная,Раздельный,1.0,Евроремонт,Панельный,Вторичный рынок,540.48,22700.0,69.36387380000001,41.3610383,True,0.05007245785389566
9141,4,52.0,0.0,0.0,2.0,Смежная,Совмещенный,1.0,Средний,Кирпичный,Вторичный рынок,648.08,33700.0,69.27937,41.2826,True,0.011700585284507316
9142,4,52.0,0.0,0.0,2.0,Смежно-раздельная,Раздельный,0.0,,Панельный,Вторичный рынок,687.5,35750.0,69.20438,41.269870000000004,True,0.004690757934486118
