,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,lat,lng
82,Armenia,15,+7,,,,15,,5.1,40.293084855000075,44.94022131100007
83,North Macedonia,13,,,,1.0,12,,6.2,41.610741663000056,21.715525897000077
84,Moldova,12,+6,,,,12,,3.0,47.20102827100004,28.46370618900005
85,Afghanistan,11,+4,,,,11,,0.3,33.831137065000064,66.02471179700007
86,Dominican Republic,11,+6,,,,11,,1.0,18.89668483400004,-70.49003617099999
87,Macao,10,,,,10.0,0,,,22.161230275000037,113.56017435000001
88,Sri Lanka,10,+4,,,1.0,9,,0.5,7.617678409000064,80.69863241800005
89,Bolivia,10,,,,,10,,0.9,-16.67085566199995,-64.59749402799997
90,Maldives,10,+1,,,,10,,,4.175240000000031,73.50928000000005
91,Faeroe Islands,9,+6,,,,9,,,62.00000000000006,-6.999999999999943
92,Lithuania,8,+2,,,,8,,2.9,55.33693608100003,23.900396649000072
93,Jamaica,8,,,,,8,,2.7,18.157695292000028,-77.31110640499998
94,Cambodia,7,,,,1.0,6,,0.4,12.708188507000045,104.91471615300009
95,French Guiana,7,+1,,,,7,,,3.921724136000023,-53.23312207499998
96,Paraguay,7,+1,,,,7,1.0,1.0,-23.21981209599994,-58.41066601899996
97,New Zealand,6,,,,,6,,1.2,-42.28723356399996,172.34343250000006
98,Kazakhstan,6,+2,,,,6,,0.3,48.18310616400004,67.19504548200007
99,Martinique,6,+3,,,,6,,,14.653133328000024,-61.01838056199995
100,Bangladesh,5,+2,,,2.0,3,,,23.804670475000023,90.28845390100008
101,Réunion,5,,,,,5,,,-21.133187345999943,55.53244445100006
102,Turkey,5,,,,,5,,0.1,39.066250645000025,35.142286272000035
103,Cuba,4,,,,,4,,0.4,22.000000000000057,-79.49999999999994
104,Liechtenstein,4,,,,,4,,,47.14114224000008,9.553182027000048
105,Uruguay,4,,,,,4,,1.2,-32.79326568999994,-56.02075792399995
106,Ukraine,3,,1.0,,,2,,0.1,49.02689837500003,31.374926053000024
107,Channel Islands,3,,,,,3,,,34.18411000000003,-119.22501999999997
108,French Polynesia,3,,,,,3,,,-17.67739793399994,-149.40097329699998
