,"Country, Other",ratio,lat,lng,Total Cases,Deaths/ 1M pop,percent
122,Cuba,2.34,22.000000000000057,-79.49999999999994,4266,9.0,0.0
123,Mozambique,0.61,-18.249999999999943,35.00000000000006,4265,0.8,0.0
124,Rwanda,0.42,-1.9983949569999595,29.956312610000055,4255,1.0,0.0
125,Suriname,1.73,3.9317774090000626,-56.01360780899995,4215,124.0,0.0
126,Cabo Verde,0.99,15.08362928200006,-23.624671987999932,4125,74.0,0.0
127,Thailand,1.69,15.11680278700004,101.01223920600006,3431,0.8,0.0
128,Mayotte,1.19,-12.820609210999976,45.147848887000066,3374,146.0,0.0
129,Uganda,1.04,1.513805689000037,32.335706651000066,3353,0.8,0.0
130,Somalia,2.91,4.40461606100007,46.20310500000005,3332,6.0,0.0
131,Gambia,3.17,13.448008972000025,-15.380941536999956,3120,41.0,0.0
132,Sri Lanka,0.39,7.617678409000064,80.69863241800005,3115,0.6,0.0
133,Slovenia,4.35,46.119554805000064,14.821760495000035,3079,64.0,0.0
134,Syria,4.18,35.01280854600003,38.50527333900004,3041,7.0,0.0
135,Lithuania,2.86,55.33693608100003,23.900396649000072,3004,32.0,0.0
136,Jamaica,1.0,18.157695292000028,-77.31110640499998,2896,10.0,0.0
137,Angola,4.0,-12.293655625999975,17.545335193000028,2876,3.0,0.0
138,Mali,4.48,17.362972883000054,-3.5204716629999666,2814,6.0,0.0
139,South Sudan,1.85,7.263460914000063,30.343765666000024,2536,4.0,0.0
140,Estonia,2.61,58.67204078700007,25.477224001000025,2456,48.0,0.0
141,Bahamas,2.1,25.040820000000053,-77.37121999999994,2386,127.0,0.0
142,Jordan,0.7,31.248189480000065,36.78810430300007,2301,2.0,0.0
143,Aruba,0.57,12.50908537500004,-69.97050301699994,2292,122.0,0.0
144,Guinea-Bissau,1.54,12.010130157000049,-14.984960920999981,2205,17.0,0.0
145,Benin,1.82,9.661949812000046,2.33919688900005,2194,3.0,0.0
146,Iceland,0.47,64.98695685900003,-18.582382345999974,2135,29.0,0.0
147,Sierra Leone,3.49,8.558037771000045,-11.792031778999956,2035,9.0,0.0
148,Trinidad and Tobago,1.48,10.47267427600002,-61.26048813699998,2030,21.0,0.0
149,Réunion,0.5,-21.133187345999943,55.53244445100006,2002,11.0,0.0
150,Botswana,0.4,-22.187290210999947,23.814376269000036,2002,3.0,0.0
151,Malta,0.66,35.92254885600005,14.400072590000036,1984,29.0,0.0
152,Yemen,28.85,15.905205994000028,47.59395262500004,1983,19.0,0.0
153,New Zealand,1.3,-42.28723356399996,172.34343250000006,1764,5.0,0.0
154,Uruguay,2.69,-32.79326568999994,-56.02075792399995,1636,13.0,0.0
155,Georgia,1.19,32.648324554000055,-83.44453440099994,1596,5.0,0.0
156,Cyprus,1.4,35.05017425900007,33.226229774000046,1502,17.0,0.0
157,Togo,2.15,8.539049810000051,0.9744440640000676,1443,4.0,0.0
158,Latvia,2.47,56.85460987000005,24.926839006000023,1416,19.0,0.0
159,Guyana,3.14,4.796422680000035,-58.97538657499996,1401,56.0,0.0
160,Burkina Faso,4.0,12.286319460000072,-1.7441041949999772,1375,3.0,0.0
161,Guadeloupe,1.32,16.14475253100005,-61.65011999999996,1363,45.0,0.0
162,Liberia,6.28,6.447342577000029,-9.31038674499996,1306,16.0,0.0
163,Andorra,4.36,42.54530320100008,1.5762863020000282,1215,686.0,0.0
164,Niger,5.86,17.42088083400006,9.401672665000035,1177,3.0,0.0
165,Lesotho,2.7,-29.582324937999942,28.24669362800006,1148,14.0,0.0
166,Belize,1.16,17.209050260000026,-88.69496155299998,1118,33.0,0.0
167,Myanmar,0.54,21.120846055000072,96.51177804100007,1111,0.1,0.0
168,Vietnam,3.34,16.166670000000067,107.83333000000005,1049,0.4,0.0
169,Chad,7.53,15.376264850000041,18.674165747000075,1023,5.0,0.0
170,Sao Tome and Principe,1.67,0.2393107930000724,6.602059996000037,897,68.0,0.0
171,Martinique,2.39,14.653133328000024,-61.01838056199995,754,48.0,0.0
172,San Marino,5.71,43.93817105200003,12.463507795000055,735,1237.0,0.0
174,Channel Islands,7.61,34.18411000000003,-119.22501999999997,631,276.0,0.0
